ftp link	Species	Assembly Status	Assembly Name
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/026/262/215/GCA_026262215.1_DUD_pseudomol_v2.0	Cucumis melo	Chromosome	DUD_pseudomol_v2.0
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/026/262/135/GCA_026262135.1_KRY_pseudomol_v2.0	Cucumis melo	Chromosome	KRY_pseudomol_v2.0
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/026/262/055/GCA_026262055.1_NY_pseudomol_v2.0	Cucumis melo	Chromosome	NY_pseudomol_v2.0
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/026/262/045/GCA_026262045.1_OHG_pseudomol_v2.0	Cucumis melo	Chromosome	OHG_pseudomol_v2.0
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/026/262/015/GCA_026262015.1_PI164_pseudomol_v2.0	Cucumis melo	Chromosome	PI164_pseudomol_v2.0
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/026/261/915/GCA_026261915.1_SAS_pseudomol_v2.0	Cucumis melo	Chromosome	SAS_pseudomol_v2.0
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/026/261/895/GCA_026261895.1_QME_pseudomol_v2.0	Cucumis melo	Chromosome	QME_pseudomol_v2.0
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/026/261/935/GCA_026261935.1_PSR_pseudomol_v2.0	Cucumis melo	Chromosome	PSR_pseudomol_v2.0
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/026/261/845/GCA_026261845.1_VEP_pseudomol_v2.0	Cucumis melo	Chromosome	VEP_pseudomol_v2.0
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/026/261/875/GCA_026261875.1_TOG_pseudomol_v2.0	Cucumis melo	Chromosome	TOG_pseudomol_v2.0
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/026/261/825/GCA_026261825.1_TVT_pseudomol_v2.0	Cucumis melo	Chromosome	TVT_pseudomol_v2.0
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/920/065/GCA_020920065.2_DUL_pseudomol_v2.0	Cucumis melo	Chromosome	DUL_pseudomol_v2.0
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/026/257/165/GCA_026257165.1_ASM2625716v1	Telfairia occidentalis	Scaffold	ASM2625716v1
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/025/688/845/GCA_025688845.1_ASM2568884v1	Cucumis hystrix	Chromosome	ASM2568884v1
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/025/177/605/GCA_025177605.1_USDA_Cmelo_AY_1.0	Cucumis melo	Chromosome	USDA_Cmelo_AY_1.0
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/025/177/625/GCA_025177625.1_USDA_Cmelo_MR1_1.0	Cucumis melo	Chromosome	USDA_Cmelo_MR1_1.0
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/920/065/GCA_020920065.1_DUL_pseudomol_v1.0	Cucumis melo	Chromosome	DUL_pseudomol_v1.0
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/920/055/GCA_020920055.1_TAD_pseudomol_v1.0	Cucumis melo	Chromosome	TAD_pseudomol_v1.0
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/536/105/GCA_020536105.1_JGL_1.0	Gynostemma pentaphyllum	Chromosome	JGL_1.0
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/115/005/GCA_004115005.2_UNAM_Carg_1.1	Cucurbita argyrosperma	Chromosome	UNAM_Carg_1.1
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/691/285/GCA_018691285.1_UNAM_Csor_1.0	Cucurbita argyrosperma	Chromosome	UNAM_Csor_1.0
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/142/915/GCA_018142915.1_cordophanus_v1	Citrullus lanatus	Chromosome	cordophanus_v1
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/017/139/565/GCA_017139565.1_ASM1713956v1	Luffa aegyptiaca	Chromosome	ASM1713956v1
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/987/355/GCA_016987355.1_ASM1698735v1	Benincasa hispida	Scaffold	ASM1698735v1
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/163/745/GCA_016163745.1_XTMC_PacBio_assembly	Cucumis sativus	Chromosome	XTMC_PacBio_assembly
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/163/735/GCA_016163735.1_Cu2_PacBio_assembly	Cucumis sativus	Chromosome	Cu2_PacBio_assembly
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/161/885/GCA_016161885.1_Cuc37_PacBio_assembly	Cucumis sativus	Chromosome	Cuc37_PacBio_assembly
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/161/875/GCA_016161875.1_9110gt_PacBio_assembly	Cucumis sativus	Chromosome	9110gt_PacBio_assembly
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/163/705/GCA_016163705.1_Gy14_PacBio_assembly	Cucumis sativus	Chromosome	Gy14_PacBio_assembly
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/161/785/GCA_016161785.1_W4_PacBio_assembly	Cucumis sativus	Chromosome	W4_PacBio_assembly
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/161/855/GCA_016161855.1_Cuc80_PacBio_assembly	Cucumis sativus	Chromosome	Cuc80_PacBio_assembly
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/161/715/GCA_016161715.1_W8_PacBio_assembly	Cucumis sativus	Chromosome	W8_PacBio_assembly
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/161/805/GCA_016161805.1_Cuc64_PacBio_assembly	Cucumis sativus	Chromosome	Cuc64_PacBio_assembly
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/161/775/GCA_016161775.1_Hx14_PacBio_assembly	Cucumis sativus	Chromosome	Hx14_PacBio_assembly
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/161/765/GCA_016161765.1_Hx117_PacBio_assembly	Cucumis sativus	Chromosome	Hx117_PacBio_assembly
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/170/045/GCA_016170045.1_ASM1617004v1	Luffa aegyptiaca	Scaffold	ASM1617004v1
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/525/375/GCA_014525375.1_ASM1452537v1	Cucumis melo	Chromosome	ASM1452537v1
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/281/855/GCA_013281855.1_Mcharantia_2.0	Momordica charantia	Scaffold	Mcharantia_2.0
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/801/215/GCA_004801215.2_ASM480121v2	Citrullus lanatus	Chromosome	ASM480121v2
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/012/295/215/GCA_012295215.1_ASM1229521v1	Luffa acutangula	Chromosome	ASM1229521v1
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/012/071/895/GCA_012071895.1_ASM1207189v1	Benincasa hispida	Scaffold	ASM1207189v1
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/011/762/645/GCA_011762645.1_UTNaro_melon_Harukei-3_ver1.40	Cucumis melo	Chromosome	UTNaro_melon_Harukei-3_ver1.40
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/760/825/GCA_009760825.1_ASM976082v1	Cucumis melo	Chromosome	ASM976082v1
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/727/055/GCA_009727055.1_ASM972705v1	Benincasa hispida	Chromosome	ASM972705v1
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/004/075/GCA_000004075.3_Cucumber_9930_V3	Cucumis sativus	Chromosome	Cucumber_9930_V3
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/497/455/GCA_902497455.1_Melonv4	Cucumis melo	Scaffold	Melonv4
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/238/415/GCA_000238415.2_Cla97_v1	Citrullus lanatus	Chromosome	Cla97_v1
Citrullus lanatus	Chromosome	ASM480121v1	
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/549/215/GCA_005549215.1_ASM554921v1	Cucumis melo	Scaffold	ASM554921v1
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/549/225/GCA_005549225.1_ASM554922v1	Cucumis melo	Scaffold	ASM554922v1
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/890/555/GCA_002890555.2_ZAAS_Lsic_2.0	Lagenaria siceraria	Chromosome	ZAAS_Lsic_2.0
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/115/005/GCA_004115005.1_ASM411500v1	Cucurbita argyrosperma	Scaffold	ASM411500v1
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/491/585/GCA_900491585.1_M._spontanea_TR	Momordica charantia	Scaffold	M. spontanea TR
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/268/545/GCA_003268545.1_Lsi_v1.0	Lagenaria siceraria	Scaffold	Lsi_v1.0
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/890/555/GCA_002890555.1_BG_Scaf	Lagenaria siceraria	Scaffold	BG_Scaf
Cucurbita pepo	Scaffold	ASM280686v1	
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/738/345/GCA_002738345.1_Cmax_1.0	Cucurbita maxima	Scaffold	Cmax_1.0
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/738/365/GCA_002738365.1_Cmos_1.0	Cucurbita moschata	Scaffold	Cmos_1.0
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/995/035/GCA_001995035.1_ASM199503v1	Momordica charantia	Scaffold	ASM199503v1
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/224/045/GCA_000224045.1_CSB10A_v1	Cucumis sativus	Scaffold	CSB10A_v1
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/004/075/GCA_000004075.1_CucSat_1.0	Cucumis sativus	Scaffold	CucSat_1.0
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/313/045/GCA_000313045.1_ASM31304v1	Cucumis melo	Scaffold	ASM31304v1
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/004/075/GCA_000004075.2_ASM407v2	Cucumis sativus	Chromosome	ASM407v2
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/466/325/GCA_000466325.1_Bottle_gourd	Lagenaria siceraria	Scaffold	Bottle_gourd
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/935/145/GCA_023935145.1_ASM2393514v1	Bretschneidera sinensis	Chromosome	ASM2393514v1
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/788/785/GCA_022788785.1_sunset	Carica papaya	Chromosome	sunset
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/527/605/GCA_021527605.1_sunup	Carica papaya	Chromosome	sunup
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/397/835/GCA_021397835.1_ASM2139783v1	Moringa oleifera	Scaffold	ASM2139783v1
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/105/755/GCA_018105755.1_ASM1810575v1	Bretschneidera sinensis	Chromosome	ASM1810575v1
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/801/145/GCA_009801145.1_ASM980114v1	Moringa oleifera	Scaffold	ASM980114v1
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/310/045/GCA_001310045.1_ASM131004v1	Carica papaya	Chromosome	ASM131004v1
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/150/535/GCA_000150535.1_Papaya1.0	Carica papaya	Scaffold	Papaya1.0
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/463/585/GCA_000463585.1_ASM46358v1	Tarenaya hassleriana	Scaffold	ASM46358v1
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/029/531/685/GCA_029531685.1_APGP_CSIRO_Rrap_0.1	Raphanus raphanistrum	Chromosome	APGP_CSIRO_Rrap_0.1
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/029/034/625/GCA_029034625.1_Cneglecta_1CN	Camelina neglecta	Chromosome	Cneglecta_1CN
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/801/105/GCA_000801105.3_ASM80110v3	Raphanus sativus	Chromosome	ASM80110v3
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/028/015/245/GCA_028015245.1_CEMPS_Cocculta_1.0	Cardamine occulta	Chromosome	CEMPS_Cocculta_1.0
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/028/009/825/GCA_028009825.1_Col-CC	Arabidopsis thaliana	Complete Genome	Col-CC
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/026/770/425/GCA_026770425.1_BoeM4B	Boechera divaricarpa	Chromosome	BoeM4B
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/026/770/255/GCA_026770255.1_ASM2677025v1	Brassica napus	Chromosome	ASM2677025v1
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/026/770/265/GCA_026770265.1_ASM2677026v1	Brassica napus	Chromosome	ASM2677026v1
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/026/691/275/GCA_026691275.1_ASM2669127v1	Brassica nigra	Chromosome	ASM2669127v1
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/026/261/945/GCA_026261945.1_ASM2626194v1	Hirschfeldia incana	Scaffold	ASM2626194v1
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/026/122/555/GCA_026122555.1_BD02V05	Boechera divaricarpa	Chromosome	BD02V05
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/026/151/155/GCA_026151155.1_UiO_Aaren_v1.0	Arabidopsis arenosa	Chromosome	UiO_Aaren_v1.0
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/026/151/145/GCA_026151145.1_ALyr_1.0	Arabidopsis lyrata	Chromosome	ALyr_1.0
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/911/765/GCA_020911765.2_ASM2091176v2	Arabidopsis thaliana	Chromosome	ASM2091176v2
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/946/499/705/GCA_946499705.1_Col-0.6909.PacbioHiFiAssembly	Arabidopsis thaliana	Chromosome	Col-0.6909.PacbioHiFiAssembly
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/946/499/665/GCA_946499665.1_Ey15-2.9994.PacbioHiFiAssembly	Arabidopsis thaliana	Chromosome	Ey15-2.9994.PacbioHiFiAssembly
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/025/388/435/GCA_025388435.1_AtA1-141.20181003	Arabidopsis thaliana	Chromosome	AtA1-141.20181003
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/025/215/035/GCA_025215035.1_Pakchoi_v1	Brassica rapa	Chromosome	Pakchoi_v1
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/932/364/175/GCA_932364175.1_Eruca_sativa	Eruca vesicaria	Scaffold	Eruca_sativa
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/024/498/555/GCA_024498555.1_ASM2449855v1	Arabidopsis thaliana	Chromosome	ASM2449855v1
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/024/498/515/GCA_024498515.1_ASM2449851v1	Arabidopsis thaliana	Chromosome	ASM2449851v1
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/024/498/495/GCA_024498495.1_ASM2449849v1	Arabidopsis thaliana	Chromosome	ASM2449849v1
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/024/498/475/GCA_024498475.1_ASM2449847v1	Arabidopsis thaliana	Chromosome	ASM2449847v1
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/024/498/455/GCA_024498455.1_ASM2449845v1	Arabidopsis thaliana	Chromosome	ASM2449845v1
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/024/498/435/GCA_024498435.1_ASM2449843v1	Arabidopsis thaliana	Chromosome	ASM2449843v1
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/944/990/045/GCA_944990045.1_MN47_v2	Arabidopsis lyrata	Scaffold	MN47_v2
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/024/034/495/GCA_024034495.1_ASM2403449v1	Camelina laxa	Chromosome	ASM2403449v1
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/864/065/GCA_023864065.1_ASM2386406v1	Camelina neglecta	Chromosome	ASM2386406v1
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/864/115/GCA_023864115.1_ASM2386411v1	Camelina hispida	Chromosome	ASM2386411v1
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/657/505/GCA_023657505.1_ASM2365750v1	Camelina hispida	Chromosome	ASM2365750v1
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/115/395/GCA_023115395.1_ASM2311539v1	Arabidopsis thaliana	Complete Genome	ASM2311539v1
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/911/865/555/GCA_911865555.2_T_arvense_v2	Thlaspi arvense	Chromosome	T_arvense_v2
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/933/208/065/GCA_933208065.1_ddAraThal4.1	Arabidopsis thaliana	Chromosome	ddAraThal4.1
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/328/975/GCA_021328975.1_UCB_Raph_RaphxSat_V1.fasta	Raphanus raphanistrum x Raphanus sativus	Scaffold	UCB_Raph_RaphxSat_V1.fasta
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/911/765/GCA_020911765.1_ASM2091176v1	Arabidopsis thaliana	Complete Genome	ASM2091176v1
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/379/485/GCA_020379485.1_Da-Ae	Brassica napus	Chromosome	Da-Ae
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/283/515/GCA_020283515.1_Apet_EFCC3-3-20v4	Alliaria petiolata	Scaffold	Apet_EFCC3-3-20v4
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/484/125/GCA_001484125.2_MPIPZ_Amontbretiana_3.1	Arabis montbretiana	Chromosome	MPIPZ_Amontbretiana_3.1
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/002/505/GCA_020002505.1_ASM2000250v1	Brassica juncea	Chromosome	ASM2000250v1
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/002/515/GCA_020002515.1_ASM2000251v1	Brassica juncea	Chromosome	ASM2000251v1
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/776/045/GCA_019776045.1_xB_Genome.1.0	Brassica rapa x Raphanus sativus	Scaffold	xB_Genome.1.0
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/705/995/GCA_019705995.1_IVFCAAS_Rs10_1.0	Raphanus raphanistrum x Raphanus sativus	Chromosome	IVFCAAS_Rs10_1.0
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/705/885/GCA_019705885.1_IVFCAAS_Rs03_1.0	Raphanus sativus	Chromosome	IVFCAAS_Rs03_1.0
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/706/035/GCA_019706035.1_IVFCAAS_Rs09_1.0	Raphanus raphanistrum	Chromosome	IVFCAAS_Rs09_1.0
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/705/955/GCA_019705955.1_IVFCAAS_Rs06_1.0	Raphanus sativus	Chromosome	IVFCAAS_Rs06_1.0
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/706/005/GCA_019706005.1_IVFCAAS_Rs08_1.0	Raphanus raphanistrum	Chromosome	IVFCAAS_Rs08_1.0
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/705/965/GCA_019705965.1_IVFCAAS_Rs07_1.0	Raphanus sativus	Chromosome	IVFCAAS_Rs07_1.0
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/705/855/GCA_019705855.1_IVFCAAS_Rs05_1.0	Raphanus sativus	Chromosome	IVFCAAS_Rs05_1.0
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/705/875/GCA_019705875.1_IVFCAAS_Rs04_1.0	Raphanus sativus	Chromosome	IVFCAAS_Rs04_1.0
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/705/865/GCA_019705865.1_IVFCAAS_Rs02_1.0	Raphanus sativus	Chromosome	IVFCAAS_Rs02_1.0
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/705/895/GCA_019705895.1_IVFCAAS_Rs01_1.0	Raphanus sativus	Chromosome	IVFCAAS_Rs01_1.0
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/703/475/GCA_019703475.1_IVFCAAS_Rs00_1.1	Raphanus sativus	Chromosome	IVFCAAS_Rs00_1.1
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/911/865/555/GCA_911865555.1_MN106-Ref	Thlaspi arvense	Chromosome	MN106-Ref
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/412/535/GCA_900412535.3_brapa_z1_v2	Brassica rapa	Chromosome	brapa_z1_v2
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/202/795/GCA_019202795.1_ASM1920279v1	Arabidopsis thaliana x Arabidopsis arenosa	Chromosome	ASM1920279v1
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/202/805/GCA_019202805.1_ASM1920280v1	Arabidopsis suecica	Chromosome	ASM1920280v1
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/983/045/GCA_018983045.1_YUN_Tarv_1.0	Thlaspi arvense	Chromosome	YUN_Tarv_1.0
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/901/935/GCA_018901935.1_ASM1890193v1	Pugionium cornutum	Chromosome	ASM1890193v1
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/901/945/GCA_018901945.1_ASM1890194v1	Pugionium dolabratum	Scaffold	ASM1890194v1
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/901/965/GCA_018901965.1_BRT_1.0	Brassica rapa	Scaffold	BRT_1.0
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/703/725/GCA_018703725.1_ASM1870372v1	Brassica juncea	Chromosome	ASM1870372v1
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/361/395/GCA_018361395.1_NTU_Bstr_SAD12_2.2	Boechera stricta	Chromosome	NTU_Bstr_SAD12_2.2
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/361/405/GCA_018361405.1_NTU_Bstr_LTM_2.2	Boechera stricta	Chromosome	NTU_Bstr_LTM_2.2
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/905/216/605/GCA_905216605.1_AARE701a	Arabidopsis arenosa	Chromosome	AARE701a
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/177/695/GCA_018177695.1_Cabbage_OX-heart_923_BVRC	Brassica oleracea	Chromosome	Cabbage_OX-heart_923_BVRC
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/017/639/395/GCA_017639395.1_SCU_BraROA_2.3	Brassica rapa	Chromosome	SCU_BraROA_2.3
ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/757/365/GCA_009757365.2_ASM975736v2	Lepidium campestre	Scaffold	ASM975736v2
